;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;P gina 1 de 706;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;02/01/2020  07:00:00 ;;
;;;;;Fluxo das Liga‡äes;;;;;;;;;;Per¡odo:;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;24/12/2020  22:00:59 ;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;"Filtro customizado: Nenhum
";;;;;;;;;;;;;;;;;
;;;.;;;;;;;;;;;EmissÆo:;01/02/2023;14:36:43 ;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Liga‡äes saintes;;;Liga‡äes entrantes;;;Liga‡äes internas;;;Totais;;;;;;
Data;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;Quantidade;Dura‡Æo;Custo;Quantidade;Dura‡Æo;Custo;Quantidade;Dura‡Æo;Custo;Quantidade;;Dura‡Æo;Custo;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
02/01/2020  Qui;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;07:00 - 07:59;;0;00:00:00;0,00;25;00:22:00;0,00;0;00:00:00;0,00;25;;00:22:00;0,00;;;
;;;;;;;;;;;;;;;;;;
;08:00 - 08:59;;0;00:00:00;0,00;488;09:09:12;0,00;0;00:00:00;0,00;488;;09:09:12;0,00;;;
;;;;;;;;;;;;;;;;;;
;09:00 - 09:59;;0;00:00:00;0,00;1.481;23:08:36;0,00;0;00:00:00;0,00;1.481;;23:08:36;0,00;;;
;;;;;;;;;;;;;;;;;;
;10:00 - 10:59;;0;00:00:00;0,00;1.754;35:30:18;0,00;0;00:00:00;0,00;1.754;;35:30:18;0,00;;;
;;;;;;;;;;;;;;;;;;
;11:00 - 11:59;;0;00:00:00;0,00;1.761;33:43:48;0,00;0;00:00:00;0,00;1.761;;33:43:48;0,00;;;
;;;;;;;;;;;;;;;;;;
;12:00 - 12:59;;0;00:00:00;0,00;1.600;27:32:06;0,00;0;00:00:00;0,00;1.600;;27:32:06;0,00;;;
;;;;;;;;;;;;;;;;;;
;13:00 - 13:59;;0;00:00:00;0,00;1.461;27:03:06;0,00;0;00:00:00;0,00;1.461;;27:03:06;0,00;;;
